Chromosome	Start	End
chr1	123400000	123400001
chr2	93900000	93900001
chr3	90900000	90900001
chr4	50000000	50000001
chr5	48800000	48800001
chr6	59800000	59800001
chr7	60100000	60100001
chr8	45200000	45200001
chr9	43000000	43000001
chr10	40200000	40200001
chr11	53700000	53700001
chr12	35800000	35800001
chr13	17900000	17900001
chr14	17600000	17600001
chr15	19000000	19000001
chr16	36600000	36600001
chr17	24000000	24000001
chr18	17200000	17200001
chr19	26500000	26500001
chr20	27500000	27500001
chr21	13200000	13200001
chr22	14700000	14700001
chrX	60600000	60600001
chrY	12500000	12500001
